rg_id,rg_title,imdb_id,primary_type
b1aa90a3-57e6-3e69-864d-0dec1bf77404,Saving Private Ryan: Music From the Original Motion Picture Soundtrack,tt0120815,Album
abadf4eb-88f4-302e-969a-14cc9e904868,Scream 3,tt0134084,Album
4808988b-d7af-35f9-a761-529d53a7cede,Sister Act 2: Back in the Habit,tt0108147,Album
6d79d579-213d-3172-a860-1cd9bde0ecd5,Forrest Gump: The Soundtrack,tt0109830,Album
c4b605c9-d36c-313a-92b0-18db1e07e5a5,Passion: Music for The Last Temptation of Christ,tt0095497,Album
afdd7286-648d-3980-a7dd-5ed51f676cf6,Braveheart: Original Motion Picture Soundtrack,tt0112573,Album
13a011e4-b0b6-32ed-a93d-ef5bd187d725,The World Is Not Enough: Music From the MGM Motion Picture,tt0143145,Album
a66a0e8f-da0d-3413-9e15-72cb4bb5250b,Independence Day,tt0116629,Album
5ec99346-808f-3c81-a33a-92fbc5103f15,The Million Dollar Hotel: Music From the Motion Picture,tt0120753,Album
6e514645-fbee-34ac-97e0-c2120a4a5644,Magical Mystery Tour,tt0061937,Album
344a6caf-674d-3890-a3c0-f09e78e3f854,"Back to the Future, Part III: Original Motion Picture Soundtrack",tt0099088,Album
a9beb5e6-394c-301d-9f7d-3a86dfcccf42,Dangerous Minds: Music From the Motion Picture,tt0112792,Album
6fb9820a-99cc-318f-bae4-44992f2b7ffa,"O Brother, Where Art Thou? Music From a Film by Joel Coen & Ethan Coen",tt0190590,Album
a5ae17e1-b297-3d6d-b826-2d3f55360b64,Music From and Inspired by M:I‐2,tt0120755,Album
bc04101a-f099-3da6-a89f-41342bab4b80,Fight Club: Original Motion Picture Score,tt0137523,Album
eaae6a1d-6844-39c9-a4d0-1a2dc507e19c,Runaway Bride: Music From the Motion Picture,tt0163187,Album
4c39d072-8187-35c9-97c7-9a7a629925d1,Star Trek VI: The Undiscovered Country,tt0102975,Album
a6f0826e-9b27-3d75-b30c-e5d33235777a,Obscured by Clouds,tt0069451,Album
443d9f29-d2b9-39be-a1dc-7dcf0c829f85,Twin Falls Idaho,tt0162830,Album
a21cc4e5-45d3-3406-a967-1eceddd14409,Nunsense,tt0114017,Album
5bb4f68c-e1d7-30e8-81ca-451c07ff724f,The Last Days of Chez Nous,tt0104685,Album
ab08be0e-b418-38da-8583-5e918de8e950,Silkwood,tt0086312,Album
f1c618bc-0d0f-3d68-ba7a-9b8dfe8e591f,The Road to El Dorado,tt0138749,Album
